ページ名,ファイルパス,ページタイトル,セクション,機能・要件,データ項目,操作・インタラクション,遷移先
イベント概要（VIP）,site_project_detail_vip.html,イベント概要（VIP管理アプリ）,プログラム（コンテンツ）,user_project_detail.htmlと同一のプログラム行（講演者名・肩書なし・種別列はバッジのみ）,時間/ROOM/種別（バッジのみ）/予定・入室・退室（1セル縦積み）・横スクロール不要,-,-
受付プログラムリスト,site_project_detail_program.html,受付プログラムリスト,ヘッダー,イベント名ヘッダー（黒背景・白文字）,イベント名,-,-
受付プログラムリスト,site_project_detail_program.html,受付プログラムリスト,プログラムテーブル,プログラム一覧（テーブル）,時間/ROOM/講演タイトル/講演者/入室予定/入室実績/退室数/操作（QRアイコン＋受付QRテキスト）,QRリンククリックで読み取りページへ,各読み取りページ
読み取り（基調講演）,site_read_keynote.html,読み取り - 基調講演,ヘッダー,左：戻る（arrow-left）→イベントトップ／中央：アプリ名／右：リスト,戻る/受付アプリ名/リスト,-,-
読み取り（基調講演）,site_read_keynote.html,読み取り - 基調講演,プログラム情報カード,黒背景でイベント名タイトル＋プログラム概要1〜2行,イベント名/時間種別ROOM/入室数,-,-
読み取り（基調講演）,site_read_keynote.html,読み取り - 基調講演,読み取りエリア,中央横並び：黒20%透過「受付」「取り消し」→各モーダル（画像全体タップでは開かない）,images/read_scan_area_mock.png,次へ／確認で各モーダルを閉じる,-
VIP来場のお知らせ,site_notifications.html,VIP来場のお知らせ,ヘッダー,左戻る・中央「VIP管理アプリ」・右リスト（site_project_list_vip）・ベルなし／直下に黒背景白字でイベント名,戻る/アプリ名/リスト/イベント名,-,-
VIP来場のお知らせ,site_notifications.html,VIP来場のお知らせ,見出し,担当：山田太郎＋右寄せ小ボタン（黒20%透過白字）／来場者名空×会社名ありで検索→入場記録なしモーダル,VIP来場のお知らせ/担当/モーダル,-,-
VIP来場のお知らせ,site_notifications.html,VIP来場のお知らせ,検索カード,来場者名・会社名（かなカナ漢字）／プログラム絞り込み／カード最下部に検索ボタン,テキスト2件・セレクト・検索,-,-
VIP来場のお知らせ,site_notifications.html,VIP来場のお知らせ,検索・絞り込み,プログラム絞り込み,すべて/基調講演/セッションA〜D/ダイアログ/ネットワーキング,セレクトで絞り込み,-,-
VIP来場のお知らせ,site_notifications.html,VIP来場のお知らせ,表示件数,表示件数選択,50件/100件,セレクト変更,-,-
VIP来場のお知らせ,site_notifications.html,VIP来場のお知らせ,お知らせリスト,2行＋右寄せ既読/未読バッジ（先頭4件未読・以降既読）,日時・プログラム・会社・来場者・状態,一覧表示,-,-
マイプロフィール,site_myprof.html,マイプロフィール,ヘッダー,アプリタイトル（黒背景・白文字）,イベント入退場受付アプリ,-,-
マイプロフィール,site_myprof.html,マイプロフィール,アカウント情報カード,名前,テキスト入力（初期値：山田 太郎）,入力・保存,-,-
マイプロフィール,site_myprof.html,マイプロフィール,アカウント情報カード,メール,メールアドレス入力（初期値：yamada.taro@example.com）,入力・保存,-,-
マイプロフィール,site_myprof.html,マイプロフィール,アカウント情報カード,パスワード,********表示＋パスワード忘れボタン,パスワード忘れクリック,-,-
マイプロフィール,site_myprof.html,マイプロフィール,アカウント情報カード,保存・一覧に戻る,保存ボタン（カードヘッダー）/一覧に戻るリンク,クリック,site_project_list.html
フッターメニュー,site_footer_reception.html,受付アプリ用フッター,ナビゲーション,固定フッター（受付QR・山田太郎・メニュー・VIP来場なし）,受付QR/山田太郎/メニュー（ドロップダウン）,アイコンクリック,各ページ
フッターメニュー,site_footer.html,受付アプリ用フッター（全体版・393px）,ナビゲーション,受付QR・VIP来場・マイプロフィール・メニュー（4アイコン横並び）,メニュー内: イベント一覧/利用規約（site_terms.html）/プライバシー（site_privacy.html）/モックアップ入口/ログアウト,アイコン・メニュークリック,各ページ
フッターメニュー,site_footer_reception.html,受付アプリ用フッター（受付色・簡易）,メニュードロップダウン,メニュー項目,イベント一覧（site_project_list.html）/利用規約（site_terms.html）/プライバシーポリシー（site_privacy.html）/モックアップ入口（../index.html）/ログアウト,メニュークリック,各ページ
フッターメニュー（VIP）,site_footer_vip.html,VIP管理アプリ用フッター,フッター表示,黒背景・白文字・小さめテキスト（人アイコン・メニューなし）,イベント入退場管理ver1.0.0/©株式会社ビジネスフォーラム事務局,-,各ページ
イベントリスト用フッター,site_footer_project_list.html,イベントリスト用フッター（受付）,フッター表示,site_footer_project_list_vipと同内容（黒背景・白文字・バージョン・著作権）,イベント入退場管理ver1.0.0/©株式会社ビジネスフォーラム事務局,-,各ページ
イベントリスト用フッター（VIP）,site_footer_project_list_vip.html,イベントリスト用フッター（VIP）,フッター表示,site_footer_vipと同内容（黒背景・白文字・バージョン・著作権）,イベント入退場管理ver1.0.0/©株式会社ビジネスフォーラム事務局,-,各ページ
共通仕様,-,共通仕様,対象デバイス,スマートフォン,iPhone 16以降／Android。表示幅393px基準。,-,-
共通仕様,-,共通仕様,対応OS,iOS・Android,iOS：リリースから2年以内（例：2026年ではiOS 18以降）。Android：リリースから2年以内（例：2026年ではAndroid 14以降）。,-,-
共通仕様,-,共通仕様,レイアウト,1カラム縦並び,フォント0.65rem〜0.9rem。フッター固定（黒背景・白文字）。,-,-
共通仕様,-,共通仕様,入口・2系統,index→USER SITE→login／indexに業務フロー（business_flow.html）,受付アプリ（受付QRあり・VIP来場への遷移なし）／VIP管理アプリ（VIP来場あり・受付QRなし）。管理画面はsystem_user_cms/user_login.html経由（2026年4月）,-,-
